STATION;VALID_FROM;VALID_TO;ISSUE_ID;ISSUE_RELEVANCY;ISSUE DESCRIPTION;TESTED;TESTER;INPUT1;INPUT2;STATUS;COMMENTS
BS.LOZB..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.LOZB..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.LOZB..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.MPE..HHZ;2017-12-08;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 61.37 s, table: 120.00 s
BS.MPE..HHN;2017-12-08;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 61.37 s, table: 120.00 s
BS.MPE..HHE;2017-12-08;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 61.37 s, table: 120.00 s
BS.PLVB..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PLVB..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PLVB..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PLVB..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PLVB..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PLVB..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.PSN..HHZ;2011-06-11;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 60.00 s
BS.PSN..HHN;2011-06-11;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 60.00 s
BS.PSN..HHE;2011-06-11;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 60.00 s
BS.RAZG..BHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.RAZG..BHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.RAZG..BHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.RAZG..HHE;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.RAZG..HHN;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.RAZG..HHZ;2012-11-20;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..BHE;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..BHN;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..BHZ;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..HHE;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..HHN;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.SHAB..HHZ;2013-12-02;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 101.94 s, table: 120.00 s
BS.YUND..HHZ;2023-03-01;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;norm_resp: Illegal filter specification
BS.YUND..HHN;2023-03-01;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;norm_resp: Illegal filter specification
BS.YUND..HHE;2023-03-01;;4;5;metadata response failure;240523;LV:lv_codes;META::240521;;found:240523;norm_resp: Illegal filter specification
BW.BE1..EHE;2011-05-13;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.BE1..EHN;2011-05-13;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.BE1..EHZ;2011-05-13;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.FFB2..BH1;2015-06-12;;4.01;5;metadata - no Poles in PolesZerosResponseStage;240523;LV:lv_codes;META::240521;;found:240523;inventoryP&Z: len(P)=0  stage2: len(Poles,Zeros)=(0,0)
BW.KW1..EHE;2010-12-02;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.KW1..EHN;2010-12-02;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.KW1..EHZ;2010-12-02;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.OBER..BHE;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.OBER..BHN;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.OBER..BHZ;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.OBER..HHE;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.OBER..HHN;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.OBER..HHZ;2022-04-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..BHE;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..BHN;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..BHZ;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..HHE;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..HHN;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.PART..HHZ;2020-02-24;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RJOB..EHE;2007-12-17;2014-11-26;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RJOB..EHN;2007-12-17;2014-11-26;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RJOB..EHZ;2007-12-17;2014-11-26;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RJOB..EHE;2014-11-26;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RJOB..EHN;2014-11-26;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RJOB..EHZ;2014-11-26;2015-10-19;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.RMOA..BHE;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RMOA..BHN;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RMOA..BHZ;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RMOA..HHE;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RMOA..HHN;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RMOA..HHZ;2023-09-18;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNHA..HHE;2018-11-28;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 122.60 s, table: 1.00 s
BW.RNHA..HHN;2018-11-28;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 122.60 s, table: 1.00 s
BW.RNHA..HHZ;2018-11-28;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 122.60 s, table: 1.00 s
BW.RNON..BHE;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNON..BHN;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNON..BHZ;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNON..HHE;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNON..HHN;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RNON..HHZ;2020-08-19;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..BHE;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..BHN;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..BHZ;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..HHE;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..HHN;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTBE..HHZ;2020-11-12;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSA..EHE;2009-04-01;2009-12-01;4.05;3;metadata - incorrect channel band due to sampling rate;240523;LV:lv_codes;META::240521;;found:240523;band E -> D (sr: 250.0 Hz, corner period: 5.08 s)
BW.RTSA..EHN;2009-04-01;2009-12-01;4.05;3;metadata - incorrect channel band due to sampling rate;240523;LV:lv_codes;META::240521;;found:240523;band E -> D (sr: 250.0 Hz, corner period: 5.08 s)
BW.RTSA..EHZ;2009-04-01;2009-12-01;4.05;3;metadata - incorrect channel band due to sampling rate;240523;LV:lv_codes;META::240521;;found:240523;band E -> D (sr: 250.0 Hz, corner period: 5.08 s)
BW.RTSH..BHE;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSH..BHN;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSH..BHZ;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSH..HHE;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSH..HHN;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.RTSH..HHZ;2020-05-07;;4.07;2;metadata - corner confusion between real and tabled values;240523;LV:lv_codes;META::240521;;found:240523;corner period: real: 119.80 s, table: 1.00 s
BW.SCE..EHE;2012-12-05;2013-04-24;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SCE..EHN;2012-12-05;2013-04-24;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SCE..EHZ;2012-12-05;2013-04-24;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SCE..EHE;2013-04-24;2015-10-21;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SCE..EHN;2013-04-24;2015-10-21;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SCE..EHZ;2013-04-24;2015-10-21;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
BW.SYB01..BHE;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 0.24 s)
BW.SYB01..BHN;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 0.24 s)
BW.SYB01..BHZ;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band B -> S (sr: 20.0 Hz, corner period: 0.24 s)
BW.SYB01..HHE;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 200.0 Hz, corner period: 0.23 s)
BW.SYB01..HHN;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 200.0 Hz, corner period: 0.23 s)
BW.SYB01..HHZ;2020-12-08;2021-04-03;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band H -> E (sr: 200.0 Hz, corner period: 0.23 s)
BW.UH3..EHE;2010-04-28;2010-05-05;4.06;4;metadata - channel band confusion in broadband and short-period;240523;LV:lv_codes;META::240521;;found:240523;band E -> H (sr: 200.0 Hz, corner period: 122.60 s)
